FID,Field1,red,green,blue,nir,ndvi,X,Y,Observed,GlobalID,CreationDate,Creator,EditDate,Editor,x2,y2
1,1,96,118,106,209,0.370491803,281314.5,4319411.5,Forest,f7ce05b4-5760-4073-9220-272f17d07556,8/12/2020 2:05,philip.roberts_FSA,8/21/2020 18:22,philip.roberts_FSA,-77.52518009,38.99641539
2,2,102,142,107,215,0.356466877,280382.5,4314571.5,Forest,3d104560-8115-467f-b28b-f170415726ae,8/12/2020 2:05,philip.roberts_FSA,8/21/2020 18:23,philip.roberts_FSA,-77.53437767,38.95260966
3,3,162,170,149,206,0.119565217,278817.5,4312537.5,Grassland,d9b7fb1e-554d-4b3a-9437-6542d6c74898,8/12/2020 2:05,philip.roberts_FSA,8/21/2020 18:23,philip.roberts_FSA,-77.55176417,38.93390516
4,4,185,181,182,71,-0.4453125,281102.5,4314210.5,Urban,366163e2-0ba1-4e47-a0bd-4e32fe65b2c0,8/12/2020 2:05,philip.roberts_FSA,8/21/2020 18:23,philip.roberts_FSA,-77.52596101,38.94953978
5,5,140,140,128,87,-0.233480176,278089.5,4314259.5,Barren,9b9e1e5f-bb08-4b37-95db-fa0d5ad9f267,8/12/2020 2:05,philip.roberts_FSA,9/3/2020 18:47,philip.roberts_FSA,-77.56071316,38.94922349
6,6,71,87,86,63,-0.059701493,282295.5,4312967.5,Forest,4ef8ab8d-28ea-4830-9864-b3234dc733ee,8/12/2020 2:05,philip.roberts_FSA,9/3/2020 18:48,philip.roberts_FSA,-77.51181164,38.93864638
7,7,125,162,111,225,0.285714286,282009.5,4316578.5,Forest,420013a2-9fff-463f-ad47-6a10e10b7bce,8/12/2020 2:05,philip.roberts_FSA,9/3/2020 18:48,philip.roberts_FSA,-77.51625852,38.97108418
9,9,83,104,89,163,0.325203252,283741.5,4318096.5,Forest,3223bac4-0dfe-4f25-8c6f-fe71a5f206fe,8/12/2020 2:05,philip.roberts_FSA,9/3/2020 18:53,philip.roberts_FSA,-77.49676405,38.98517971
10,10,87,122,102,221,0.435064935,278588.5,4318401.5,Forest,6d051da0-129e-4c2f-9145-7ffddfec5cdc,8/12/2020 2:05,philip.roberts_FSA,9/3/2020 18:53,philip.roberts_FSA,-77.55630108,38.98663769
11,11,134,144,117,189,0.170278638,283602.5,4317073.5,Grassland,fbbe47b0-56ec-4054-96e4-2b6e4dce401d,8/12/2020 2:05,philip.roberts_FSA,9/3/2020 18:54,philip.roberts_FSA,-77.49804357,38.9759355
12,12,165,164,170,72,-0.392405063,280532.5,4312857.5,Urban,7a5de0fc-c7cf-4aed-b00e-5afc8896c8b2,8/12/2020 2:05,philip.roberts_FSA,9/3/2020 18:54,philip.roberts_FSA,-77.53209894,38.93721673
13,13,178,175,186,69,-0.441295547,280649.5,4318018.5,Urban,dc7bfb4d-f7c8-41fb-9e6d-fd640e02b3f5,8/12/2020 2:05,philip.roberts_FSA,9/3/2020 18:54,philip.roberts_FSA,-77.53240471,38.98370844
14,14,131,147,110,214,0.24057971,283679.5,4318367.5,Grassland,502436d7-de64-4a04-9d46-a6c9ecfc3e0d,8/12/2020 2:05,philip.roberts_FSA,9/3/2020 18:55,philip.roberts_FSA,-77.497565,38.98760416
15,15,72,87,94,92,0.12195122,279279.5,4316976.5,Forest,2f4f66d1-5731-4d79-b5db-37f3c49be4f1,8/12/2020 2:05,philip.roberts_FSA,10/30/2020 20:05,kennyyerardi_USDA_APHIS,-77.54787042,38.97398364
16,16,157,169,147,205,0.132596685,278994.5,4314938.5,Grassland,50f013b7-a7e1-4733-aaa8-757d0175f08e,8/12/2020 2:05,philip.roberts_FSA,9/17/2020 18:31,kennyyerardi_USDA_APHIS,-77.55049888,38.95556477
17,17,237,237,235,222,-0.032679739,278580.5,4315539.5,Urban,d43cb8e0-fd61-4f28-afc8-d9b321b47478,8/12/2020 2:05,philip.roberts_FSA,9/17/2020 18:32,kennyyerardi_USDA_APHIS,-77.55546665,38.96087076
18,18,164,167,138,194,0.083798883,278087.5,4319838.5,Grassland,509fd0d5-1c38-48da-a08a-d2893bf9f479,8/12/2020 2:05,philip.roberts_FSA,9/17/2020 18:32,kennyyerardi_USDA_APHIS,-77.56254675,38.99944722
19,19,65,87,75,118,0.289617486,283273.5,4314128.5,Forest,dd75acc7-7a0d-4fdb-b610-b982f8d1d911,8/12/2020 2:05,philip.roberts_FSA,9/17/2020 18:33,kennyyerardi_USDA_APHIS,-77.50090523,38.94934089
20,20,132,138,126,165,0.111111111,280973.5,4316340.5,Grassland,743285fd-201e-43a5-b759-bd75800e7230,8/12/2020 2:05,philip.roberts_FSA,9/17/2020 18:42,kennyyerardi_USDA_APHIS,-77.52812999,38.96868317
21,21,219,203,188,190,-0.070904645,281645.5,4315558.5,Barren,80084f0e-0c21-4e7e-bc62-3c5bba77d61c,8/12/2020 2:05,philip.roberts_FSA,9/17/2020 18:43,kennyyerardi_USDA_APHIS,-77.52013079,38.96181081
22,22,135,151,125,221,0.241573034,282117.5,4313683.5,Forest,5afc8b05-f43b-4869-942a-812f52fa7ab0,8/12/2020 2:05,philip.roberts_FSA,9/17/2020 18:43,kennyyerardi_USDA_APHIS,-77.51409129,38.94504816
23,23,150,151,120,176,0.079754601,282700.5,4315026.5,Grassland,38064699-99f0-4abe-af15-e54403a08299,8/12/2020 2:05,philip.roberts_FSA,9/17/2020 18:43,kennyyerardi_USDA_APHIS,-77.50779651,38.95728356
24,24,163,171,147,195,0.089385475,279399.5,4315993.5,Barren,7569a30c-2029-4e1e-98c8-e908f6586850,8/12/2020 2:05,philip.roberts_FSA,9/17/2020 18:44,kennyyerardi_USDA_APHIS,-77.54616943,38.96516442
