@begin get_site_from_NASIS
nasissitename|grpname|siteiid|peiid|usiteid|upedonid|pedlabsampnum|rcasiteid|taxonname|descname|obsdate|obsdatekind|areasymbol|mlra|utmzone|utmeasting|utmnorthing|x|y|horizdatnm|x_std|y_std|geocoordsource|gpspositionalerror|peqcstatus|peqastatus|undisclosed|pedontype|pedonpurpose|labdatadescflag|osdtypelocflag|erocl|drainagecl|flodfreqcl|floddurcl|flodmonthbeg|pondfreqcl|ponddurcl|pondmonthbeg|elev|slope|aspect|earthcovkind1|earthcovkind2|plantassocnm|bedrckdepth|bedrckkind|bedrckhardness|pmkind|pmorigin|landscape|landform|hillslopeprof|geomslopeseg|shapeacross|shapedown|slopecomplex|geomposhill|geomposmntn|geompostrce|geomposflats|classdate|classtype|classifier|taxonname_recent|localphase|taxonkind|seriesstatus|taxclname|taxorder|taxsuborder|taxgrtgroup|taxsubgrp|taxpartsize|taxpartsizemod|taxceactcl|taxreaction|taxtempcl|taxmoistscl|soiltaxedition|psctopdepth|pscbotdepth|surface_total_frags_pct_nopf|surface_total_frags_pct|surface_unspecified|surface_fine_gravel|surface_gravel|surface_cobbles|surface_stones|surface_boulders|surface_flagstones|surface_channers|surface_parafine_gravel|surface_paragravel|surface_paracobbles|surface_parastones|surface_paraboulders|surface_paraflagstones|surface_parachanners|
MLRA04_Bozeman|4-MIS Pedons|1100757|1092667|2015MT6630500|2015MT6630500|||null|Jay Skovlin|2015-11-04|1|||11|697420.89|5427849.10|-114.3023|48.97198|25|-114.3022500|48.9719860||||||5|2|0|0||3|1|||1|||1272.0|22.0|121|||PSME/SYAL-CARU||||Till|Metasedimentary rock||mountain slopes on U-shaped valleys|3||3|3||4||||2015-12-08|4|Jay Skovlin|null||4||Loamy-skeletal, mixed, superactive Typic Haplocryalfs|1|75|370|2952|33||5||||11|51|98|1.5|1.5|1.5|||||||||||||||
MLRA04_Bozeman|4-MIS Pedons|1100701||2015MT6630501||||||2015-06-06|1|||12|265103.59|5414111.57|-114.2012|48.83549|25|-114.2011817|48.8354982||||||||||||||||||1272.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
MLRA04_Bozeman|4-MIS Pedons|1100702|1092608|2015MT6630502|2015MT6630502|||null|Jay Skovlin, Joe Capella|2015-06-19|1|||12|269662.16|5387223.79|-114.1242|48.59568|25|-114.1241494|48.5956831||||||5|2|0|0||3|1|||1|||1859.0|55.0|330|||ABLA/MEFE||||Colluvium over Residuum|Metasedimentary rock over Metasedimentary rock|mountains|mountain slopes|3||3|3||4||||2015-12-09|4|JMS|null||4||Loamy-skeletal, mixed, superactive Typic Haplocryepts|6|70|445|3624|33||5||||11|30|105||||||||||||||||||
MLRA04_Bozeman|4-MIS Pedons|1100703|1092609|2015MT6630503|2015MT6630503|||null|Jay Skovlin, Joe Capella|2015-06-19|1|||12|271991.71|5386371.16|-114.0921|48.58887|25|-114.0921334|48.5888761||||||5|2|0|0||3|1|||1|||1670.0|58.0|155|||||||Colluvium over Residuum|Metasedimentary rock over Metasedimentary rock|mountains|mountain slopes|3||2|3||3||||2015-12-09|4|JMS|null||4||Loamy-skeletal, mixed, superactive Typic Haplocryepts|6|70|445|3624|33||5||||11|27|84|0.900000005960464|0.900000005960464|0.5|||0.400000005960464||||||||||||
MLRA04_Bozeman|4-MIS Pedons|1100704|1092610|2015MT6630505|2015MT6630505|||null|Jay Skovlin, Stephanie Shoemaker|2015-08-09|1|||12|332411.78|5363081.89|-113.2642|48.39861|25|-113.2641916|48.3986056||||||5|2|0|0||4|1|||1|||1559.0|10.0|100|||||||Eolian deposits over Residuum|Shale and siltstone|mountains|swales|3||3|1||||||2015-12-09|4|JMS|null||4||Fine-loamy, mixed, superactive Pachic Argicryolls|7|74|417|3343|54||5||||11|30|80||||||||||||||||||
MLRA04_Bozeman|4-MIS Pedons|1100705|1092611|2015MT6630506|2015MT6630506|||null|Jay Skovlin, Stephanie Shoemaker|2015-07-17|1|||12|291297.73|5417307.35|-113.8463|48.87357|25|-113.8463241|48.8735672||||||5|2|0|0||3|1|||1|||1828.0|16.0|300|||||||Colluvium over Residuum|Metasedimentary rock over Metasedimentary rock||benches on cirques on U-shaped valleys|3||3|3||||||2015-12-09|4|JMS|null||4||Loamy-skeletal, mixed, superactive Typic Haplocryepts|6|70|445|3624|33||5||||11|30|68||||||||||||||||||
MLRA04_Bozeman|4-MIS Pedons|1100706|1092612|2015MT6630507|2015MT6630507|||null|Jay Skovlin, Joe Capella|2015-07-18|1|||12|294229.39|5419511.08|-113.8075|48.89434|25|-113.8075011|48.8943472||||||5|2|0|0||3|1|||1|||1495.0|8.0|100|||||||Volcanic ash over Alluvium|Metasedimentary rock||alluvial fans on U-shaped valleys|4||2|3||||||2015-12-10|4|JMS|null||4||Loamy-skeletal over sandy or sandy-skeletal, mixed, superactive Andic Haplocryepts|6|70|445|3614|35||5||||11|29|104||||||||||||||||||
MLRA04_Bozeman|4-MIS Pedons|1100707|1092613|2015MT6630508|2015MT6630508|||null|Jay Skovlin, Joe Capella|2015-07-18|1|||12|294287.43|5419237.48|-113.8066|48.89191|25|-113.8065724|48.8919082||||||5|2|0|0||3|1|||1|||1490.0|5.0|140|||||||Alluvium|Argillite||alluvial fans on U-shaped valleys|5||3|3||||||2015-12-10|4|JMS|null||4||Loamy-skeletal, mixed, superactive Typic Haplocryepts|6|70|445|3624|33||5||||11|27|102||||||||||||||||||
MLRA04_Bozeman|4-MIS Pedons|1100708|1092614|2015MT6630509|2015MT6630509|||null|Jay Skovlin, Carmel Johnston|2015-07-19|1|||12|292852.78|5419775.38|-113.8264|48.89626|25|-113.8263935|48.8962634||||||5|2|0|0||3|1|||1|||1636.0|20.0|20|||||||Volcanic ash over Till|Metasedimentary rock||cirque floors|3||3|3||4||||2015-12-10|4|JMS|null||4||Loamy-skeletal, mixed, superactive Andic Haplocryepts|6|70|445|3614|33||5||||11|29|104||||||||||||||||||
MLRA04_Bozeman|4-MIS Pedons|1100709|1092615|2015MT6630510|2015MT6630510|||null|Jay Skovlin, Carmel Johnston|2015-07-19|1|||12|292415.02|5419942.74|-113.8324|48.89762|25|-113.8324437|48.8976206||||||5|2|0|0||3|1|||1|||1909.0|65.0|20|||||||Colluvium|Metasedimentary rock||colluvial aprons on cirque walls|3||2|3||3||||2015-12-10|4|JMS|null||4||Loamy-skeletal, mixed, superactive Pachic Haplocryolls|7|74|420|3364|33||5||||11|25|100|0.600000023841858|0.600000023841858|||||0.600000023841858|||||||||||
MLRA04_Bozeman|4-MIS Pedons|1100710|1092616|2015MT6630511|2015MT6630511|||null|Jay Skovlin, Joe Capella|2015-07-20|1|||12|296781.68|5422240.51|-113.7741|48.91971|25|-113.7740792|48.9197139||||||5|2|0|0||3|1|||1|||1495.0|4.0|80|||||||Alluvium|Limestone and siltstone||alluvial fans on U-shaped valleys|5||3|3||||||2015-12-10|4|JMS|null||1||Loamy-skeletal, mixed, superactive Typic Cryofluvents|4|17|91|667|33||5||||11|29|104||||||||||||||||||
MLRA04_Bozeman|4-MIS Pedons|1100711|1092617|2015MT6630512|2015MT6630512|||null|Jay Skovlin, Carmel Johnston|2015-07-21|1|||12|302035.73|5424656.87|-113.7036|48.94313|25|-113.7036152|48.9431286||||||5|2|0|0||3|1|||1|||1415.0|7.0|312|||||||Alluvium|Metasedimentary rock||alluvial fans on valley floors on U-shaped valleys|||2|3||||||2015-12-10|4|JMS|null||4||Loamy-skeletal, mixed, superactive Pachic Argicryolls|7|74|417|3343|33||5||||11|34|72||||||||||||||||||
MLRA04_Bozeman|4-MIS Pedons|1100712|1092618|2015MT6630513|2015MT6630513|||null|Jay Skovlin, Carmel Johnston|2015-07-21|1|||12|301964.14|5424943.48|-113.7047|48.94568|25|-113.7047310|48.9456811||||||5|2|0|0||3|1|||1|||1411.0|1.0|120|||||||Outwash|Metasedimentary rock||outwash terraces on valley floors on U-shaped valleys|||3|3||||2||2015-12-10|4|JMS|null||1||Loamy-skeletal over sandy or sandy-skeletal, mixed, superactive Pachic Argicryolls|7|74|417|3343|35||5||||11|23|52||||||||||||||||||
MLRA04_Bozeman|4-MIS Pedons|1100713|1092619|2015MT6630514|2015MT6630514|||null|Jay Skovlin, Carmel Johnston|2015-07-21|1|||12|302143.14|5424984.43|-113.7023|48.94611|25|-113.7023090|48.9461063||||||5|2|0|0||3|1|||1|||1412.0|1.0|156|||||||Outwash|Metasedimentary rock||outwash terraces on valley floors on U-shaped valleys|||3|3||||2||2015-12-10|4|JMS|null||1||Loamy-skeletal, mixed, superactive Typic Argicryolls|7|74|417|3347|33||5||||11|32|70||||||||||||||||||
MLRA04_Bozeman|4-MIS Pedons|1100714|1092620|2015MT6630515|2015MT6630515|||null|Jay Skovlin, Carmel Johnston|2015-07-21|1|||12|301847.40|5425095.56|-113.7064|48.94701|25|-113.7063975|48.9470103||||||5|2|0|0||3|1|||1|||1438.0|3.0|120|||||||Outwash|Metasedimentary rock||outwash terraces on valley floors on U-shaped valleys|2||3|2||||||2015-12-10|4|JMS|null||4||Loamy-skeletal over sandy or sandy-skeletal, mixed, superactive Pachic Argicryolls|7|74|417|3343|35||5||||11|24|53||||||||||||||||||
