ca794,Count UCU,ned30m_8VICN,ned30m_8VICMIN,ned30m_8VICMAX,ned30m_8VICMEAN,ned30m_8VICSTDDEV,ned30m_8VICSUM,ned30m_8VIC_slope5N,ned30m_8VIC_slope5MIN,ned30m_8VIC_slope5MAX,ned30m_8VIC_slope5MEAN,ned30m_8VIC_slope5STDDEV,ned30m_8VIC_slope5SUM
-2147483647,467334827,444720051,-85.607872,4412.212402,1018.887189,718.253513,453119562684.966740,444639237,0.000000,504.285248,13.318514,18.108550,5921933686.318354
470107,120351,120351,331.900024,728.976929,466.364681,81.461190,56127455.687653,120351,0.000748,16.081057,1.679315,0.779734,202107.185802
470108,23991,23991,470.283478,781.671082,580.199644,56.276578,13919569.656097,23991,0.004123,29.201765,4.685534,3.204442,112410.654298
470109,8895,8895,486.521881,827.595947,637.560183,87.903636,5671097.829590,8895,0.205433,43.721302,3.810723,3.965106,33896.377055
470110,12220,12220,301.638428,669.290405,514.400961,89.659655,6285979.741394,12220,0.227526,52.449348,14.036266,8.899958,171523.176446
470112,68200,68200,568.873718,1212.378052,826.882187,129.007027,56393365.170288,68200,0.057685,74.681839,23.811792,13.716017,1623964.231470
470113,207535,207535,462.173126,1406.312988,925.477877,177.118777,192069051.109802,207535,0.133157,111.514275,27.676829,14.831163,5743910.649559
470114,41353,41353,643.682495,1162.269653,862.224787,72.140943,35655581.619690,41353,0.076912,75.198265,14.846903,10.147614,613963.991230
470115,35845,35845,395.671143,1003.374084,642.246883,131.162335,23021339.529114,35845,0.073738,84.193817,28.254511,14.982785,1012782.943832
470118,34697,34697,353.765656,981.833801,503.912383,112.061611,17484247.958923,34697,0.000082,45.315758,2.929019,2.657607,101628.174099
470119,13282,13282,484.611725,582.964233,535.499589,20.019489,7112505.546326,13282,0.044868,6.406841,1.921429,0.802766,25520.423239
470120,23857,23857,465.543976,947.449402,655.639774,99.813288,15641598.087891,23857,0.110014,56.600117,7.876601,5.784188,187912.062829
470121,5520,5520,527.168640,709.887512,597.626678,37.487258,3298899.264587,5520,0.091896,21.085215,3.355337,2.451456,18521.461066
470122,49257,49257,373.495880,1071.450928,474.797881,78.821780,23387119.212799,49257,0.006159,35.803539,3.877207,2.484453,190979.583889
