es_id,species,pct_low,pct_high
018XI200CA,QUDO-TS,5.00,15.00
018XI200CA,BRHO2,1.00,45.00
018XI200CA,TRHI4,2.00,10.00
018XI200CA,QUDO-TR,0.10,0.10
018XI200CA,AVBA,30.00,50.00
018XI200CA,BRDI2,0.10,45.00
018XI200CA,BRDI3,1.00,5.00
018XI200CA,HYGL2,0.10,7.00
018XI200CA,LATHY,1.00,7.00
018XI200CA,TACA8,7.00,20.00
018XI200CA,MELIC,5.00,10.00
018XI200CA,LOPE,0.10,1.00
018XI200CA,BRRU2,10.00,25.00
018XI200CA,VULPI,5.00,20.00
018XI200CA,GAAP2,0.10,2.00
018XI200CA,SILEN,0.10,0.10
018XI201CA,QUDO-TS,10.00,35.00
018XI201CA,BRDI3,1.00,10.00
018XI201CA,BRHO2,2.00,50.00
018XI201CA,GAAP2,0.10,3.00
018XI201CA,BRDI2,1.00,5.00
018XI201CA,BRRU2,0.10,15.00
018XI201CA,PISA2-TM,10.00,15.00
018XI201CA,ELGL,0.10,2.00
018XI201CA,AVBA,1.00,50.00
018XI201CA,CYEC,0.10,40.00
018XI201CA,HEAR5,0.10,1.00
018XI201CA,LOPEM2,0.10,1.00
018XI201CA,LATHY,5.00,25.00
018XI201CA,CECU,10.00,15.00
018XI201CA,QUDO-TR,0.10,2.00
018XI201CA,AVFA,10.00,20.00
018XI201CA,TRIFO,0.10,15.00
018XI202CA,QUWI2-TS,2.00,50.00
018XI202CA,QUDO-TS,5.00,40.00
018XI202CA,QUWI2-TR,0.10,15.00
018XI202CA,PETR7,0.10,2.00
018XI202CA,AVFA,10.00,60.00
018XI202CA,BRHO2,1.00,25.00
018XI202CA,TODI,1.00,15.00
018XI202CA,BRDI3,0.10,8.00
018XI202CA,GERAN,0.10,10.00
018XI202CA,CLPE,0.10,5.00
018XI202CA,TODI,5.00,25.00
018XI202CA,LATHY,0.10,25.00
018XI202CA,PISA2-TM,1.00,10.00
018XI202CA,GALIU,1.00,5.00
018XI202CA,PISA2-TR,0.10,8.00
018XI202CA,QUDO-TM,10.00,30.00
018XI202CA,CECU,10.00,15.00
018XI202CA,TRIFO,0.10,10.00
018XI202CA,PISA2-TM,0.10,15.00
