es_id,name,prod_low,prod_normal,prod_high
018XI200CA,AVBA-BRHO2-QUDO,550,1650,6200
018XI201CA,QUDO-PISA2-CECU-AVBA,670,2100,7800
018XI202CA,QUWI2-TODI-HEAR5,700,2150,8000
018XI204CA,QUKE-PIPO-TODI-ARCTO3,500,2000,7300
018XI205CA,QUWI2-QUDO-TODI-ADFA,500,1600,4200
018XI206CA,QUDO-QUWI2-ARGL4-TODI,400,1700,8800
018XK202CA,BRHO2-QUDO-VICIA,600,4100,5500
018XI101CA,VUMIP-TRDE,500,1500,5000
018XI102CA,CECU-PISA2,100,235,750
018XI103CA,ADFA-ERCA6,400,600,1300
018XI104CA,PISA2-HEAR5-CECU,100,250,450
018XI105CA,ADFA-ARCTO3-HEAR5,800,1350,3900
018XI106CA,ADFA-HEAR5-QUWI2-ARCTO3,1050,2100,4500
018XI125CA,AVFA-ESCHS,2050,3200,5300
018XK101CA,BROMU-AVENA,500,2800,4100
018XK103CA,BROMU-TRIFO,500,5000,9800
