FEATURE,soilid,X,Y,SLP,WETM,TANCURV,PROCRV,PLNCRV,CRV,MAXCRV,MINCRV
Cabot,1,289096.0687,4979307.719,10.2,5.5,-0.00247,-0.042,-0.02448,0.06649,0.05599,0.00973
Cabot,1,289585.0784,4976222.745,,8.8,0.01758,0.07345,0.27769,-0.35114,0.00852,-0.35866
Cabot,1,289569.4605,4978266.876,6.1,5.2,-0.00171,0.09259,-0.02799,-0.0646,0.02928,-0.09341
Cabot,1,288918.6617,4979137.51,,4.9,0.00007,-0.03811,0.00576,0.03235,0.04083,-0.00849
Cabot,1,289843.7495,4977244.582,4.7,5.7,0.00135,0.04748,0.02881,-0.07629,-0.02874,-0.04737
Cabot,1,289819.1498,4977225.536,4,7.6,0.0014,0.04087,0.03539,-0.07626,-0.00474,-0.0714
Cabot,1,289793.229,4977202.384,3.7,8.6,0.00186,0.01528,0.05024,-0.06552,-0.00171,-0.06374
Cabot,1,289764.9115,4977180.87,,6.9,0.00071,0.03011,0.01948,-0.04959,-0.01245,-0.03707
Cabot,1,289740.8681,4977159.437,4.5,8.2,0.00106,0.03771,0.02384,-0.06155,-0.01533,-0.04608
Cabot,1,289713.8159,4977137.34,4.9,7.2,0.00063,0.03019,0.0128,-0.04299,-0.0112,-0.03166
Cabot,1,287899.4912,4976541.348,11.3,7.4,0.01359,0.10557,0.12062,-0.22618,-0.07349,-0.14991
Cabot,1,288218.6635,4976978.051,,7.9,0.04075,0.12422,0.35622,-0.48044,-0.01606,-0.45962
Cabot,1,287931.8425,4977290.754,19.9,4.8,0.01167,0.10297,0.05991,-0.16288,-0.00589,-0.15003
Cabot,1,289000.4189,4977695.099,,4.5,-0.00519,0.17918,-0.02872,-0.15046,0.02835,-0.17057
Cabot,1,288857.0099,4977851.451,5.4,11.7,0.00786,0.17278,0.1455,-0.31828,-0.10858,-0.20874
Cabot,1,288413.8401,4978020.745,21.2,4.9,0.00816,0.15138,0.03928,-0.19066,-0.03911,-0.141
Cabot,1,288726.544,4978307.563,8.1,6.8,0.00159,-0.06162,0.01973,0.04189,0.06077,-0.01941
