n_peiid,n_upedonid,obs_year
1,1,1793
108,108,1899
11,11,1928
8,8,1929
17,17,1930
11,11,1932
6,6,1935
4,4,1936
9,9,1938
17,17,1939
18,18,1940
15,15,1942
4,4,1943
46,46,1944
36,36,1945
2,2,1946
21,21,1947
30,30,1948
67,67,1949
81,81,1950
99,99,1951
70,70,1952
388,388,1953
543,543,1954
574,574,1955
580,580,1956
675,675,1957
735,735,1958
750,750,1959
556,556,1960
696,696,1961
672,672,1962
349,349,1963
428,428,1964
418,418,1965
387,387,1966
422,422,1967
492,492,1968
608,608,1969
629,629,1970
497,497,1971
535,535,1972
589,589,1973
729,729,1974
760,760,1975
955,955,1976
1150,1150,1977
1543,1543,1978
1296,1296,1979
1205,1205,1980
1397,1397,1981
1278,1278,1982
1268,1268,1983
1439,1439,1984
1483,1483,1985
1165,1165,1986
1382,1382,1987
1584,1584,1988
1363,1363,1989
1765,1765,1990
1852,1852,1991
1774,1774,1992
1551,1551,1993
1555,1555,1994
1532,1532,1995
1152,1152,1996
1356,1356,1997
1134,1134,1998
1652,1652,1999
1310,1310,2000
1138,1138,2001
876,876,2002
1144,1144,2003
1095,1095,2004
1272,1272,2005
1519,1519,2006
2687,2687,2007
1762,1762,2008
2948,2948,2009
4188,4188,2010
12468,12468,2011
2719,2719,2012
688,688,2013
9603,9603,2014
836,836,2015
848,848,2016
599,599,2017
707,707,2018
1,1,2106
1,1,9863
