FEATURE,soilid,Rowid_,MASK,X,Y,SLP,WETM,TANCURV,PROFCRV,PLNC,CRV,MAXCRV,MINCRV
Cabot,1,1,0,289096.06866500000,4979307.71941000000,10.15754000000,5.48258900000,-0.00247419300,-0.04200275000,-0.02448353000,0.06648628000,0.05598697000,0.00973219700
Cabot,1,2,1,289585.07837400000,4976222.74490000000,6.34519100000,8.82848700000,0.01758437000,0.07345366000,0.27768640000,-0.35114010000,0.00852258500,-0.35866390000
Colonel,2,3,2,289251.80262800000,4977081.53291000000,21.39610000000,3.95216400000,0.01442990000,-0.07760353000,0.06896819000,0.00863534400,0.07516691000,-0.07004462000
Colonel,2,4,3,289217.93536600000,4976898.20841000000,18.52056000000,4.25533900000,0.00603259400,-0.05723253000,0.03312635000,0.02410617000,0.05617929000,-0.03434250000
Colonel,2,5,4,289301.78568600000,4977012.93504000000,16.09906000000,3.64072600000,-0.00636004000,-0.01934248000,-0.04001435000,0.05935683000,0.05133210000,0.00678772100
Colonel,2,6,5,289551.03298100000,4978256.84593000000,5.19858000000,5.48055900000,-0.00613181400,0.03682662000,-0.11811100000,0.08128436000,0.11794910000,-0.03667523000
Cabot,1,7,6,289569.46052700000,4978266.87561000000,6.11293500000,5.19946300000,-0.00170770600,0.09259040000,-0.02798808000,-0.06460232000,0.02927637000,-0.09341428000
Cabot,1,8,7,288918.66174700000,4979137.51047000000,1.18108400000,4.88942300000,0.00006804076,-0.03811000000,0.00576127700,0.03234873000,0.04082810000,-0.00848695200
Colonel,2,9,8,289056.36797300000,4979341.96937000000,9.15913900000,3.10557200000,-0.00299407800,0.01674978000,-0.03282635000,0.01607657000,0.03572051000,-0.01957219000
Colonel,2,10,9,289101.08653900000,4979395.02400000000,9.23915900000,3.45405700000,-0.00065193570,-0.00517139200,-0.00708627600,0.01225767000,0.03450372000,-0.02234162000
Cabot,1,11,10,289843.74954400000,4977244.58167000000,4.68492600000,5.69560100000,0.00134828700,0.04748357000,0.02881083000,-0.07629440000,-0.02874055000,-0.04736638000
Cabot,1,12,11,289819.14975300000,4977225.53589000000,3.97134600000,7.62508400000,0.00140432900,0.04087416000,0.03538940000,-0.07626356000,-0.00474229700,-0.07139688000
Cabot,1,13,12,289793.22896400000,4977202.38449000000,3.70351400000,8.63483700000,0.00185923600,0.01528421000,0.05023636000,-0.06552056000,-0.00171459300,-0.06374016000
Cabot,1,14,13,289764.91151300000,4977180.86991000000,3.66510200000,6.87999200000,0.00071350010,0.03010793000,0.01948047000,-0.04958840000,-0.01244710000,-0.03706766000
Cabot,1,15,14,289740.86810400000,4977159.43744000000,4.45199300000,8.24528900000,0.00106020800,0.03771393000,0.02383782000,-0.06155174000,-0.01533399000,-0.04608231000
Cabot,1,16,15,289713.81591200000,4977137.33991000000,4.94197800000,7.16340600000,0.00063179400,0.03018836000,0.01279984000,-0.04298819000,-0.01119809000,-0.03166424000
Colonel,2,17,16,289635.54499300000,4977089.56903000000,5.60548600000,5.11093700000,-0.00004411790,-0.01055838000,-0.00078828420,0.01134666000,0.02033724000,-0.00904138100
Colonel,2,18,17,289596.83721500000,4977071.96525000000,6.10123900000,4.98793700000,0.00152995700,-0.00482812100,0.02512281000,-0.02029469000,0.01781324000,-0.03808814000
Colonel,2,19,18,289560.33892900000,4977050.84164000000,6.23762400000,4.36358300000,-0.00086457320,-0.00836984000,-0.01388756000,0.02225740000,0.01589065000,0.00629120100
Colonel,2,20,19,289525.10959700000,4977030.87753000000,4.12738000000,3.61990700000,0.00099987220,-0.10997170000,0.02424597000,0.08572572000,0.11410610000,-0.02864011000
Dixfield,3,21,20,289193.41954700000,4976810.52492000000,15.98716000000,3.11659600000,-0.03793887000,0.01031888000,-0.24032190000,0.23000300000,0.23460650000,-0.00723370700
Colonel,2,22,21,289173.99484800000,4976804.95713000000,16.14199000000,3.36145600000,-0.03181636000,-0.05457237000,-0.19965440000,0.25422680000,0.20292630000,0.04668360000
Dixfield,3,23,22,289153.15902700000,4976789.70418000000,17.45274000000,2.37819100000,-0.00640727100,-0.09720164000,-0.03726704000,0.13446870000,0.10324180000,0.02639407000
Colonel,2,24,23,289158.51809200000,4977042.68293000000,21.24345000000,4.28868800000,-0.02242691000,0.15842840000,-0.10792680000,-0.05050167000,0.10885210000,-0.15155980000
Dixfield,3,25,24,289194.21318700000,4977033.51809000000,22.03536000000,3.46123300000,-0.01939901000,-0.07073048000,-0.09014780000,0.16087830000,0.13028440000,0.02362616000
Colonel,2,26,25,289234.33784700000,4977028.95389000000,19.86730000000,4.79434200000,-0.01033278000,-0.08925182000,-0.05302546000,0.14227730000,0.10457710000,0.03164866000
Dixfield,3,27,26,289271.18770900000,4977019.26660000000,18.92429000000,3.30624300000,-0.01054816000,-0.05214111000,-0.05672806000,0.10886920000,0.07458323000,0.03061601000
Dixfield,3,28,27,289313.49498400000,4977014.58433000000,15.58677000000,3.82811600000,0.00020812980,-0.08723258000,0.00135142100,0.08588117000,0.08378432000,-0.00097209240
Dixfield,3,29,28,289248.53153400000,4976838.25880000000,12.99536000000,2.96132200000,-0.01115534000,-0.10572550000,-0.08656270000,0.19228820000,0.17034430000,0.01859932000
Dixfield,3,30,29,289230.82022600000,4976831.42227000000,14.42929000000,3.15552200000,-0.01554572000,-0.09936015000,-0.10885300000,0.20821320000,0.16489040000,0.03918277000
Dixfield,3,31,30,289213.86148800000,4976818.04542000000,15.98575000000,3.41182500000,-0.03807160000,-0.08264941000,-0.24118350000,0.32383290000,0.23757120000,0.08016811000
Cabot,1,32,31,287899.49122800000,4976541.34788000000,11.34076000000,7.44682300000,0.01359156000,0.10556590000,0.12061520000,-0.22618110000,-0.07349467000,-0.14991390000
Dixfield,3,33,32,287762.55007900000,4976847.58037000000,33.30289000000,5.78959900000,0.04689991000,-0.01181157000,0.14843260000,-0.13662100000,0.04002229000,-0.17076300000
Colonel,2,34,33,288362.07402100000,4976821.69968000000,12.94413000000,5.21498700000,0.00756565900,0.05496055000,0.05893621000,-0.11389680000,-0.05278477000,-0.05927144000
Dixfield,3,35,34,287918.90155400000,4976990.99131000000,26.44392000000,4.81500600000,0.01175742000,-0.09323881000,0.04599000000,0.04724881000,0.15543330000,-0.11564600000
Cabot,1,36,35,288218.66350200000,4976978.05066000000,11.51414000000,7.93531000000,0.04074670000,0.12421970000,0.35622220000,-0.48044190000,-0.01605614000,-0.45961770000
Colonel,2,37,36,288674.77563500000,4977108.52013000000,5.46248900000,3.51950500000,-0.00726711300,-0.23073900000,-0.13323500000,0.36397400000,0.28944510000,0.07330167000
Cabot,1,38,37,287931.84253400000,4977290.75354000000,19.85528000000,4.84314200000,0.01166719000,0.10296980000,0.05990821000,-0.16287810000,-0.00589412500,-0.15003460000
Dixfield,3,39,38,288088.19426700000,4977434.16385000000,37.04217000000,3.82978800000,-0.05591886000,0.32819250000,-0.16098400000,-0.16720860000,0.13979370000,-0.25945770000
Colonel,2,40,39,288537.83639700000,4977414.75156000000,22.99897000000,4.35591500000,0.02922861000,0.04860990000,0.13040440000,-0.17901430000,-0.04651526000,-0.12556450000
Dixfield,3,41,40,288244.54597700000,4977577.57386000000,43.31165000000,3.81050800000,0.05439552000,0.54301860000,0.13686480000,-0.67988340000,-0.05674458000,-0.48842660000
Colonel,2,42,41,288251.01697700000,4977727.45462000000,47.17438000000,3.00210100000,-0.08050053000,0.29100110000,-0.18867940000,-0.10232170000,0.15334860000,-0.19798160000
Dixfield,3,43,42,288400.89766400000,4977720.98355000000,22.66000000000,4.41232900000,-0.00239613800,0.11127400000,-0.01084239000,-0.10043160000,0.01502650000,-0.10767460000
Colonel,2,44,43,288550.77819800000,4977714.51250000000,8.62417500000,5.51772900000,-0.00263698800,-0.03654631000,-0.03069020000,0.06723651000,0.07628757000,-0.00956852300
Dixfield,3,45,44,288700.65858000000,4977708.04145000000,18.49336000000,4.78273600000,-0.00485379900,-0.02532612000,-0.02669121000,0.05201732000,0.02680322000,0.02352323000
Cabot,1,46,45,289000.41888700000,4977695.09939000000,18.38450000000,4.45394400000,-0.00519223500,0.17918040000,-0.02871578000,-0.15046460000,0.02834622000,-0.17056920000
Cabot,1,47,46,288857.00991500000,4977851.45056000000,5.40933700000,11.70311000000,0.00785912600,0.17278330000,0.14550060000,-0.31828390000,-0.10857790000,-0.20873800000
Colonel,2,48,47,289006.88998100000,4977844.97938000000,20.28693000000,3.72545700000,0.00897883600,0.19334660000,0.04516081000,-0.23850740000,0.01662455000,-0.24288020000
Dixfield,3,49,48,289156.76989400000,4977838.50822000000,19.72560000000,3.96186100000,0.01168057000,-0.09118222000,0.06035630000,0.03082592000,0.09913987000,-0.07224717000
Dixfield,3,50,49,288263.95943400000,4978027.21613000000,42.43178000000,2.89211200000,-0.09602315000,0.00842414300,-0.24582960000,0.23740540000,0.22510060000,-0.00537222100
Cabot,1,51,50,288413.84009800000,4978020.74475000000,21.23235000000,4.89536400000,0.00815881300,0.15137830000,0.03928294000,-0.19066130000,-0.03911268000,-0.14100340000
Colonel,2,52,51,289013.36122700000,4977994.85937000000,13.72717000000,4.90677300000,0.01058856000,0.13626790000,0.07785916000,-0.21412700000,-0.06671395000,-0.14292690000
Colonel,2,53,52,287827.25966600000,4978346.39269000000,12.13623000000,4.38244500000,-0.00811339300,0.00270341200,-0.06734317000,0.06463976000,0.07386269000,-0.00965481700
Colonel,2,54,53,288276.90250100000,4978326.97758000000,16.92048000000,5.85814300000,0.00036963390,0.02033785000,0.00221558700,-0.02255344000,0.00763910900,-0.02931833000
Cabot,1,55,54,288726.54396400000,4978307.56258000000,8.06278600000,6.82755900000,0.00158535900,-0.06161857000,0.01972648000,0.04189209000,0.06076888000,-0.01940900000
Colonel,2,56,55,289176.18405500000,4978288.14768000000,16.13910000000,4.03321500000,-0.00893098600,-0.16247070000,-0.05605364000,0.21852430000,0.15853830000,0.05312273000
