FID,x,y,NASIS_Pedo,overstory,undrstry,Overstory,UnderstoryConifer,Oi_cm,Oe_cm,Oa_cm,O_sumthk,epipedon,spod_inten,subgroup,soil_order,tex_fam,drain_cl,series,taxon_type,slope_perc,surf_tex,stoniness,depth_clas,depth_to_r,depth_cm,aspect_deg,hillsl_pos,slope_shp,tip_mnd,mu_sym,area_sym,rainfall_i,bedrock_ge,compnum,aachn,dem10m,downslpgra,eastness,greenrefl,landsatb1,landsatb2,landsatb3,landsatb7,maxc100,maxent,minc100,mirref,ndvi,northeastn,northness,northwestn,planc100,proc100,protection,relpos11,slp50,solar,tanc75
0,-79.736111,38.588777,10WV075UELOV019,"QURU,QUPR2,ACSA3,PRSE2","FAGR,ACRU",Hardwood,n,3,0,0,3,ochric,0,typic,ultisol,fl,wd,Carrollton,series,45,l,stx,md,200,67,194,backslope,lv,0,MfF,WV075,51,Dch,2,27.4557991,1122.550049,25.9435997,-0.530249,0.103534,0.0726255,0.0619593,0.0334708,0.0494257,-0.0844978,20.2649002,-0.192459,0.160752,0.866396,-0.974457,-0.847842,-0.224575,-0.117689,-0.23106,0.237314,0.351978,42.4476013,1481510,0.0510615
1,-79.742639,38.59,10WV075UELOV013,QURU(clearcut),"FAGR,BEALA,PIRU",Hardwood,y,4,0,3,7,ochric,0,typic,inceptisol,l-sk,wd,Mandy,series,54,l,stv,md,200,69,11,backslope,ll,0,MfF,WV075,51,Dhs,4,81.7042999,1239.079956,25.1063004,0.971552,0.0425083,0.0742381,0.0583132,0.0351477,0.0515639,-0.0963408,30.2080002,-0.145657,0.0826702,0.821996,0.854453,0.236826,-0.519528,-0.107696,-0.178438,0.154113,0.506922,42.3452988,1280610,0.0279341
2,-79.740362,38.591222,10WV075UELOV016,"PRSE2,ACSA3,QURU,MAFR","FAGR, ACPE",Hardwood,n,3,2,0,5,ochric,0,typic,ultisol,fl,wd,Carrollton,series,39,cnl,stx,md,200,52,82,backslope,ll,0,MfF,WV075,51,Dhs,2,2.5891099,1155.329956,78.0419998,0.999549,0.0351113,0.0742381,0.0546671,0.0301169,0.0430111,-0.0848173,27.4396,-0.8324,0.110866,0.842146,0.728016,0.0300194,-0.68556,-0.217268,-0.735186,0.221907,0.233491,26.2889004,1348160,0.0552608
3,-79.755,38.591472,10WV075UELOV001,"ACRU,QURU,FAGR,PRSE2","ACPE,PIRU,FAGR",Hardwood,y,4,4,0,8,ochric,0,typic,inceptisol,cl,wd,Mandy,taxadjunct,25,l,stv,md,200,95,94,backslope,vl,0,MfF,WV075,51,Dhs,4,43.3618011,1240.48999,37.0168991,0.900429,0.0776443,0.0774633,0.0583132,0.0418554,0.0451493,0.238573,7.8759999,0.0689687,0.147738,0.799925,0.944293,0.435003,-0.329105,0.132069,0.220638,0.114316,0.543776,24.5149002,1322630,-0.0186553
4,-79.739611,38.593241,10WV075UELSP007,"PIRU,ACRU,BEALA,TSCA","BEALA,PRSE2,PIRU,ACPE",Mixed,y,3,4,8,15,folistic,1,spodic,ultisol,fl,wd,Carrollton,series,38,l,stv,md,200,93,--,backslope,vv,0,MfF,WV075,51,Dch,2,70.7492981,1211.030029,26.0524006,-0.474495,0.0720965,0.0694003,0.052844,0.0317938,0.0301821,0.136844,73.8462982,0.0997553,0.0761635,0.769869,-0.957954,-0.880258,-0.286922,0.047566,0.16054,0.13826,0.585145,36.3465004,1532160,-0.0345558
5,-79.740166,38.594306,10WV075UELSP003,"PIRU,TSCA,BEALA,ACRU","BEALA,PIRU,PRSE2,ACPE",Mixed,y,2,6,0,8,ochric,1,spodic,ultisol,fl,wd,Carrollton,series,30,cnl,stv,md,200,81,22,backslope,lv,0,MfF,WV075,51,Dhs,2,94.5771027,1237.699951,37.4603004,-0.325696,0.0036739,0.0694003,0.0564901,0.0334708,0.0365966,0.108313,79.6572037,0.122839,0.0523053,0.805874,-0.898852,-0.945475,-0.438253,0.108133,0.117924,0.0933967,0.636218,25.1210003,1536340,-0.0369214
6,-79.753612,38.594556,10WV075UELOV005,"BEALA,TSCA,FAGR,QURU","ACPE,FAGR,TSCA",Mixed,y,2,4,0,6,ochric,1,spodic,inceptisol,cl,wd,Mandy,taxadjunct,38,l,stv,md,200,86,117,backslope,vl,0,MfF,WV075,51,Dch,4,12.8934002,1185.219971,24.5014992,0.755532,0.103534,0.0710129,0.0546671,0.0351477,0.0579784,0.11581,48.3261986,-0.145546,0.158583,0.835867,0.0710103,-0.655112,-0.997476,0.115043,-0.116209,0.208511,0.427924,41.7812996,1488440,-0.0740668
7,-79.657195,38.59475,10WV075UAROV013,"ACSA3,FAGR,QURU,BEALA",ACPE,Hardwood,n,2,2,0,4,ochric,0.5,typic,inceptisol,fl,wd,Mandy,taxadjunct,36,sil,ns,md,200,90,4,backslope,lv,0,MfF,WV075,51,Dch,4,53.8443985,1197.439941,29.8188,0.375238,0,0.0710129,0.051021,0.0301169,0.0344584,0.130355,10.1824999,-0.0406262,0,0.844599,0.92077,0.926929,0.390105,0.124358,-0.0489492,0.136565,0.447285,35.4426003,1155820,-0.0567238
8,-79.660361,38.595361,10WV075UARSP001,"PIRU, PRSE2","ACPE,ACSA3,PIRU",Mixed,y,4,2,7,13,ochric,1,spodic,inceptisol,fl,wd,Mandy,taxadjunct,16,sil,ns,md,200,75,293,shoulder,vv,0,MfE,WV075,51,Dch,4,54.107399,1196.859985,53.8112984,-0.962943,0.0573024,0.0742381,0.0473749,0.02844,0.0259057,0.129912,72.7071991,0.0314404,0.0566431,0.72319,-0.871616,-0.269704,0.49019,0.0538513,0.0820602,0.0781321,0.560091,17.1532001,1440500,-0.0067468
9,-79.753667,38.596667,10WV075UELOV007,"QURU,FAGR,ACRU","FAGR,ACPE,PIRU",Hardwood,y,3,4,4,7,ochric,0,typic,ultisol,fl,wd,Carrollton,series,36,sil,ns,md,200,92,13,backslope,ll,0,MfF,WV075,51,Dhs,2,48.9275017,1210.630005,30.9934998,0.838863,0.114629,0.0790758,0.0601362,0.0418554,0.0665311,0.0258573,27.3574009,-0.0003218,0.251846,0.762574,0.208259,-0.544343,-0.978074,0.0093073,0.0271117,0.148933,0.483696,32.3588982,1474730,-0.0106128
