,FID,Northing,Easting,LS_Pos,SMU,Measured,SSURGO_RV,ArcSIE_SSU,SS_Manual,SDM,OSD,twi_5m,slope_5m,mrvbf_5m,mrrtf_5m,aachn_5m,twi_10m,slope_10m,mrvbf_10m,mrrtf_10m,aachn_10m,elev10m,elev_5m,twi_30m,slope_30m,mrvbf_30m,mrrtf_30m,aachn_30m,elev_30m,twi_90m,slope_90m,mrvbf_90m,mrrtf_90m,aachn_90m,elev_90m,Pred_Depth_5m_MLR,Pred_Depth_90m_MLR,Pred_Depth_5m_DT,Pred_Depth_90m_DT,Pred_Depth_5m_RF
1,0,4257042.904,526536.54,FP,GoF,157,86,165.305573,71,80,76,15.0565996,2.9108,3.9353001,0.0186,0,14.7595997,3.2913499,3.4328001,0.0118,0,175.529007,175.4179993,15.2823,10.8513002,0.8752,3.00E-04,0,175.2660065,12.5270996,5.8438902,1.9619,0.0131,0,183.8190002,145.3407974,134.4472072,136.375,140.5384615,142.2323333
2,1,4256326.51,530066.07,FP,GacAW,160,201,171.298004,200,200,200,15.8543997,1.3301001,2.9956,0.0034,0,14.1590004,1.7297699,2.434,0.0079,0,177.1089935,177.098999,13.6368999,4.4916801,1.8961,0.011,0,177.0850067,16.7367001,5.3015699,1.8507,0.0047,0,177.3549957,148.7753899,134.9863452,136.375,140.5384615,137.3861667
3,2,4256636.602,530774.626,FP,GacAW,138,201,173.50589,200,200,200,15.2042999,2.6106,4.9590001,0.1095,0.0165,15.7133999,2.9447701,3.8792,0.2347,0,185.8880005,185.8560028,15.1956997,2.60215,3.8462,0.0087,0,185.6450043,12.4211998,4.8146601,2.9796,0.1637,2.9460001,190.1320038,146.9304811,142.5704008,136.375,121.95,146.3123333
4,3,4257781.873,532627.2,FP,AcmF,190,61,147.747009,122,77,77,12.8891001,5.2448001,2.9546001,0.0109,0,13.4067001,5.1801,1.9511,0.0149,0,224.2120056,224.2819977,13.2337999,7.5147901,0.9706,0.0027,1.7828,224.8860016,13.8758001,6.3534899,1.8514,2.3332,23.9675999,224.0240021,139.96018,152.9164827,176.6666667,167.0769231,164.073
5,4,4256261.764,529572.323,FP,GacAW,115,201,167.633759,200,200,200,13.9349003,2.5105,2.9753001,0.0459,0,15.0929003,2.7609601,2.8104999,0.0345,0,171.5769958,171.5449982,15.1036997,5.9710302,1.7769001,0.0067,0,171.7339935,16.8722992,6.8849802,0.9709,0.0018,0,171.5099945,146.5301283,127.6253552,136.375,140.5384615,123.3978333
6,5,4256825.092,529179.872,FP,AcmF,110,61,175.265884,122,77,77,16.3642998,0.27,2.9867001,0.0037,0,16.5715008,0.27899,1.9881999,0.0073,0,172.0279999,172.0169983,16.1443996,4.57408,0.9456,0.0014,0,172.0870056,13.8128996,5.89252,0.7876,5.00E-04,4.1616998,172.7709961,151.18646,128.8265829,136.375,112.6923077,121.6076667
7,6,4258188.392,528867.34,FP,HcgAH,200,201,179.279999,200,200,200,15.4418001,0.9,4.5542998,0.059,0,15.5717001,0.547251,3.9730999,0.0935,0.0515,159.0950012,159.0809937,16.2383995,0.303382,2.9907,0.0187,0,159.0720062,17.7318993,1.17219,6.8608999,0.0122,0.0134,159.1490021,150.3227285,166.6964558,136.375,179.3846154,168.9285
8,7,4258601.142,528293.163,FP,HcgAH,142,201,182.376282,200,200,200,14.7061005,2.3905001,3.8604,0.1076,0,15.3399,2.3024099,2.8459001,0.4262,0.0459,158.4329987,158.4550018,16.7035007,1.48216,2.8678,0.1493,0,158.5019989,17.2064991,2.1291399,6.9292002,0.0209,0,157.9759979,147.4356588,165.1028275,136.375,179.3846154,144.462
9,8,4261068.542,531101.633,FP,AcmF,120,61,164.929184,122,77,77,14.5713997,2.9208,2.9809999,0.0242,0,14.9300003,3.0843,1.9778,0.0247,0,197.7319946,197.7489929,14.5120001,6.5809898,0.9532,8.00E-04,0,197.7319946,12.7846003,9.8530703,0.7921,2.00E-04,12.6020002,203.8220062,145.3755306,120.6356778,136.375,112.6923077,133.0641667
10,9,4260100.649,530574.905,FP,HcgAH,126,201,149.447205,200,200,200,14.1454,5.4352999,2.2513001,0.0258,0,14.1341,4.9865499,1.7747,0.0805,0,177.5059967,177.5019989,14.1493998,7.8200402,0.8757,0.0224,0,178.2089996,13.0861998,8.0775003,0.9836,0.0071,5.6725001,182.9579926,139.6803168,125.2579005,136.375,112.6923077,133.2096667
