FID,Northing,Easting,LS_Pos,SMU,Measured,SSURGO_RV,ArcSIE_SSU,SS_Manual,SDM,OSD,twi_5m,slope_5m,mrvbf_5m,mrrtf_5m,aachn_5m,twi_10m,slope_10m,mrvbf_10m,mrrtf_10m,aachn_10m,elev10m,elev_5m,twi_30m,slope_30m,mrvbf_30m,mrrtf_30m,aachn_30m,elev_30m,twi_90m,slope_90m,mrvbf_90m,mrrtf_90m,aachn_90m,elev_90m
0,4257042.904000000100000,526536.540000000040000,FP,GoF,157.000000000000000,86.000000000000000,165.305573000000010,71.000000000000000,80.000000000000000,76.000000000000000,15.0565996,2.9108000,3.9353001,0.0186000,0.0000000,14.7595997,3.2913499,3.4328001,0.0118000,0.0000000,175.5290070,175.4179993,15.2823000,10.8513002,0.8752000,0.0003000,0.0000000,175.2660065,12.5270996,5.8438902,1.9619000,0.0131000,0.0000000,183.8190002
1,4256326.509999999800000,530066.069999999950000,FP,GacAW,160.000000000000000,201.000000000000000,171.298003999999990,200.000000000000000,200.000000000000000,200.000000000000000,15.8543997,1.3301001,2.9956000,0.0034000,0.0000000,14.1590004,1.7297699,2.4340000,0.0079000,0.0000000,177.1089935,177.0989990,13.6368999,4.4916801,1.8961000,0.0110000,0.0000000,177.0850067,16.7367001,5.3015699,1.8507000,0.0047000,0.0000000,177.3549957
2,4256636.602000000000000,530774.626000000050000,FP,GacAW,138.000000000000000,201.000000000000000,173.505889999999990,200.000000000000000,200.000000000000000,200.000000000000000,15.2042999,2.6106000,4.9590001,0.1095000,0.0165000,15.7133999,2.9447701,3.8792000,0.2347000,0.0000000,185.8880005,185.8560028,15.1956997,2.6021500,3.8462000,0.0087000,0.0000000,185.6450043,12.4211998,4.8146601,2.9796000,0.1637000,2.9460001,190.1320038
3,4257781.872999999700000,532627.199999999950000,FP,AcmF,190.000000000000000,61.000000000000000,147.747008999999990,122.000000000000000,77.000000000000000,77.000000000000000,12.8891001,5.2448001,2.9546001,0.0109000,0.0000000,13.4067001,5.1801000,1.9511000,0.0149000,0.0000000,224.2120056,224.2819977,13.2337999,7.5147901,0.9706000,0.0027000,1.7828000,224.8860016,13.8758001,6.3534899,1.8514000,2.3332000,23.9675999,224.0240021
4,4256261.764000000400000,529572.322999999970000,FP,GacAW,115.000000000000000,201.000000000000000,167.633759000000000,200.000000000000000,200.000000000000000,200.000000000000000,13.9349003,2.5105000,2.9753001,0.0459000,0.0000000,15.0929003,2.7609601,2.8104999,0.0345000,0.0000000,171.5769958,171.5449982,15.1036997,5.9710302,1.7769001,0.0067000,0.0000000,171.7339935,16.8722992,6.8849802,0.9709000,0.0018000,0.0000000,171.5099945
5,4256825.092000000200000,529179.871999999970000,FP,AcmF,110.000000000000000,61.000000000000000,175.265884000000000,122.000000000000000,77.000000000000000,77.000000000000000,16.3642998,0.2700000,2.9867001,0.0037000,0.0000000,16.5715008,0.2789900,1.9881999,0.0073000,0.0000000,172.0279999,172.0169983,16.1443996,4.5740800,0.9456000,0.0014000,0.0000000,172.0870056,13.8128996,5.8925200,0.7876000,0.0005000,4.1616998,172.7709961
6,4258188.392000000000000,528867.339999999970000,FP,HcgAH,200.000000000000000,201.000000000000000,179.279999000000000,200.000000000000000,200.000000000000000,200.000000000000000,15.4418001,0.9000000,4.5542998,0.0590000,0.0000000,15.5717001,0.5472510,3.9730999,0.0935000,0.0515000,159.0950012,159.0809937,16.2383995,0.3033820,2.9907000,0.0187000,0.0000000,159.0720062,17.7318993,1.1721900,6.8608999,0.0122000,0.0134000,159.1490021
7,4258601.142000000000000,528293.162999999940000,FP,HcgAH,142.000000000000000,201.000000000000000,182.376282000000000,200.000000000000000,200.000000000000000,200.000000000000000,14.7061005,2.3905001,3.8604000,0.1076000,0.0000000,15.3399000,2.3024099,2.8459001,0.4262000,0.0459000,158.4329987,158.4550018,16.7035007,1.4821600,2.8678000,0.1493000,0.0000000,158.5019989,17.2064991,2.1291399,6.9292002,0.0209000,0.0000000,157.9759979
8,4261068.542000000400000,531101.633000000030000,FP,AcmF,120.000000000000000,61.000000000000000,164.929183999999990,122.000000000000000,77.000000000000000,77.000000000000000,14.5713997,2.9208000,2.9809999,0.0242000,0.0000000,14.9300003,3.0843000,1.9778000,0.0247000,0.0000000,197.7319946,197.7489929,14.5120001,6.5809898,0.9532000,0.0008000,0.0000000,197.7319946,12.7846003,9.8530703,0.7921000,0.0002000,12.6020002,203.8220062
9,4260100.649000000200000,530574.905000000030000,FP,HcgAH,126.000000000000000,201.000000000000000,149.447205000000000,200.000000000000000,200.000000000000000,200.000000000000000,14.1454000,5.4352999,2.2513001,0.0258000,0.0000000,14.1341000,4.9865499,1.7747000,0.0805000,0.0000000,177.5059967,177.5019989,14.1493998,7.8200402,0.8757000,0.0224000,0.0000000,178.2089996,13.0861998,8.0775003,0.9836000,0.0071000,5.6725001,182.9579926
