"wgs84_longitude","wgs84_latitude","name","mlra_sso","user_site_id","serial_number","sensor_type","sensor_depth","model","project","sid","start.date","end.date","dslv","days.of.data","gap.index","functional.yrs","complete.yrs","MAST","Winter","Summer","STR","elev","solar","tci","o.hz.thick"
-119.65,37.86,"yosemite_6","2-SON",790006,"10136186","soiltemp",50,"Hobo ProV2","CA790",27,"1998-11-04 00:00:00","2019-08-24 00:00:00",198,5935,0.19,16,12,6.53,1.66,13.69,"frigid",2440.22387695312,67440.140625,12.7399797439575,0
-119.66,37.86,"yosemite_7","2-SON",790007,"10136194","soiltemp",50,"Hobo ProV2","CA790",428,"1998-11-04 00:00:00","2014-12-15 00:00:00",1911,4146,0.24,11,8,5.02,1.74,9.46,"cryic",2387.41357421875,77346.78125,11.1188611984253,4
-119.64,37.87,"yosemite_9","2-SON",790009,"10136185","soiltemp",50,"Hobo ProV2","CA790",124,"1998-11-04 00:00:00","2019-07-09 00:00:00",244,4169,0.24,10,9,4.25,1.93,7.38,"cryic",2396.46142578125,72178.5,18.2548522949219,1
-119.58,37.84,"yosemite_46","2-SON",790046,"10136201","soiltemp",50,"Hobo ProV2","CA790",519,"1999-08-21 00:00:00","2018-11-09 00:00:00",486,4163,0.29,10,8,4.93,2.7,8.04,"cryic",2258.52172851562,65300.84375,12.2147274017334,1
-119.83,37.77,"yosemite_76","2-SON",790076,"10136196","soiltemp",50,"Hobo ProV2","CA790",392,"1998-10-23 00:00:00","2018-09-06 00:00:00",550,4844,0.17,11,10,7.24,2.69,13.44,"frigid",1886.39086914062,52372.73046875,9.28089427947998,2
-119.84,37.75,"yosemite_84","2-SON",790084,"10540091","soiltemp",50,"Hobo ProV2","CA790",199,"2001-10-04 00:00:00","2019-09-06 00:00:00",185,3695,0.22,8,7,7.58,4.71,10.74,"cryic",1636.361328125,70282.5859375,15.1015901565552,5
-119.84,37.75,"yosemite_85","2-SON",790085,"10540099","soiltemp",50,"Hobo ProV2","CA790",68,"2001-10-04 00:00:00","2019-08-31 00:00:00",191,3200,0.2,8,5,7.3,3.63,11.27,"cryic",1636.361328125,70282.5859375,15.1015901565552,4
-119.47,37.84,"yosemite_87","2-SON",790087,"10635206","soiltemp",50,"Hobo TidBit","CA790",229,"2002-10-10 00:00:00","2019-09-04 00:00:00",187,3117,0.29,8,6,4.87,2.98,7.24,"cryic",2581.37182617188,68700.4296875,11.1547861099243,0
-119.36,37.88,"yosemite_95","2-SON",790095,"10136187","soiltemp",50,"Hobo ProV2","CA790",152,"1998-10-23 00:00:00","2019-09-04 00:00:00",187,5882,0.19,16,12,5.13,2.07,9.82,"cryic",2622.42993164062,74604.453125,15.7676439285278,0
-119.36,37.87,"yosemite_96","2-SON",790096,"10136191","soiltemp",50,"Hobo ProV2","CA790",238,"1998-10-30 00:00:00","2019-09-04 00:00:00",187,5999,0.22,16,13,4.59,0.78,10.51,"cryic",2645.03076171875,65803.9609375,11.5372104644775,1
