id,site.elev,site.aspect,site.slope,o.hz.thick
6,8080,320,14,0
7,7700,214,12,4
9,8080,35,19,1
46,7940,308,25,1
76,6240,23,26,2
84,5510,200,41,5
85,5420,60,45,4
87,8600,NA,0,0
95,8600,NA,0,0
96,8600,310,8,1
111,9810,NA,0,0
124,4420,60,20,3
125,4480,255,25,2
128,5330,255,21,0
130,5960,218,40,8
142,6160,230,20,3
147,5800,225,55,0
148,2200,150,55,0
151,5880,49,18,7
154,4040,250,15,2
166,4040,27,15,8
173,1975,12,72,1
180,4760,196,42,0
181,4905,35,20,3
215,4480,110,65,1
216,7050,191,5,0
224,6880,175,4,0
225,7500,123,12,0
226,7500,124,10,9
228,6950,280,35,2
236,6380,5,60,5
259,10800,197,19,1
260,10820,332,15,0
261,8220,272,16,0
276,3450,215,12,4
282,3950,NA,0,0
283,4080,350,22,4
284,3960,NA,0,6
285,7160,360,8,4
286,6600,155,29,4
287,6640,3,43,4
