lid5m_slop,lid5m_cu,sagawi25m
0.353404,-0.0118093,7.6844001
0.365847,-0.0137387,7.4071999
0.656202,-0.0149039,7.7866998
0.626615,-0.014044,7.4738002
0.512942,-0.0153947,7.7971001
0.493209,-0.0155853,7.2799001
0.61672,-0.0086787,6.4115
0.178861,-0.0085893,8.0677004
0.196214,-0.0091093,8.5348997
0.390252,-0.0104147,8.6563997
0.373547,-0.0117613,8.9492998
0.433677,-0.0146747,9.4279003
0.550626,-0.0150612,9.1667995
0.616855,-0.015016,8.7018995
0.617758,-0.0167013,8.0984001
0.643971,-0.0161975,7.8877001
0.646029,-0.0151933,7.3708
0.63889,-0.0152533,6.8792
0.694974,-0.0156467,6.7319999
0.871619,-0.0169907,6.5049
1.0906,-0.019,6.2940998
1.19546,-0.0207294,6.4159999
1.18546,-0.0226372,6.6040001
1.10612,-0.0235533,6.6206999
1.0378799,-0.0177347,6.7498002
0.982459,-0.0186493,6.8884001
0.996706,-0.0163667,5.9359999
0.197512,-0.0078853,7.3906999
0.400778,-0.0102334,7.8239002
0.43751,-0.0120681,7.8532
0.487167,-0.0135213,7.7165999
0.552462,-0.0140587,8.0808001
0.636732,-0.0138721,8.2449999
0.680406,-0.0140267,8.0236998
0.668815,-0.0156293,8.4413004
0.75737,-0.011656,8.5567999
0.899252,-0.0105987,8.3512001
0.932666,-0.01442,7.9443002
0.915308,-0.0071255,7.2526999
0.900616,-0.0081214,7.2309999
0.853367,-0.0066958,6.7259998
0.84485,-0.0044387,6.6392999
0.898799,-0.0002385,6.6945
0.951272,0.0032814,6.5573001
1.0281,0.0054879,6.3260002
1.16915,0.0069706,6.3747001
1.21693,0.0058201,6.5735002
1.21579,0.0032465,6.6204
1.24597,0.0000814,6.6865001
1.23049,-0.0050361,6.8846998
1.24887,-0.004584,6.0391998
0.366028,-0.0094788,6.7986002
0.481511,-0.0116947,6.6550002
0.533209,-0.0066,7.0071998
0.594797,-0.011064,7.0043001
0.646626,-0.013876,6.9046001
0.687,-0.0076427,6.9843001
0.740464,-0.0048001,7.0756998
0.827561,-0.0022587,6.9875002
0.855529,0.001516,7.1760998
0.829518,0.0020507,8.0760002
0.848262,-0.0034319,8.6576996
0.942896,-0.000396,7.6599002
0.950887,0.0034185,6.7582002
0.953243,-0.0016,6.8745999
0.94207,-0.0047333,7.2846999
0.935556,-0.0047933,6.7501001
0.944936,-0.0036748,6.4867001
0.889827,-0.0016427,6.4948001
0.779949,0.000736,6.6724
0.75875,0.0036786,6.5092001
0.807927,0.0069212,6.4375
0.874843,0.0074294,6.5955
1.00398,0.006564,6.6392999
1.1197701,0.0053147,6.6865001
1.2122101,0.0011427,6.8892999
1.3283,-0.0029546,6.2063999
0.203537,-0.0017027,7.9487
0.460817,-0.002652,7.2473001
0.462408,-0.0035787,6.7275
0.600384,-0.00568,6.3024001
0.773974,-0.0089986,6.1227999
0.832575,0.0010974,6.1789999
0.837359,-0.001684,6.4194002
0.842299,-0.005188,6.6651001
0.84183,-0.0059067,6.6455998
0.830976,-0.0038174,6.3741002
0.801444,-0.0012561,6.1443
0.759896,0.0028412,7.0784001
0.710064,0.0028453,8.0291996
0.663853,-0.0041133,8.8577995
0.821205,-0.0002788,8.1581001
0.889645,0.0055413,6.6069002
0.975149,0.001216,6.6574001
1.00506,-0.002612,7.2828999
1.0485899,-0.0030906,6.8422999
1.07771,-0.0024614,6.4060998
0.985367,-0.0034399,6.3259001
0.836654,-0.0052013,6.3505001
0.779753,-0.0050855,6.4640002
0.768729,-0.0018788,6.46
0.776171,0.00038,6.6352
0.932888,0.0028493,6.7044001
1.0628901,0.0059133,6.7219
1.12523,0.0045492,6.8829002
1.12658,-0.0003827,6.4903998
0.399882,-0.0060147,8.7909002
0.50104,-0.0073241,8.1416998
0.544997,-0.009004,7.7350998
0.559504,-0.007508,7.5174999
0.492367,-0.0057054,7.2259998
0.563024,0.0033998,6.7575998
0.707845,0.0063879,6.1286001
0.728499,0.0083361,6.1669002
0.797577,0.0048107,6.3727999
0.878507,0.0001427,6.5932999
0.947649,-0.0028907,6.5931001
0.966477,-0.0038213,6.2732
0.909762,-0.0032694,6.0716
0.860268,0.0000787,6.9860001
0.790672,-0.0010055,7.9439001
0.69967,-0.0100506,8.9934998
