FID,POINTID,lid5m_slop,lid5m_cu,sagawi25m,concat
0,1,0.3534040,-0.0118093,7.6844001,8.025995
1,2,0.3658470,-0.0137387,7.4071999,7.759308
2,3,0.6562020,-0.0149039,7.7866998,8.427998
3,4,0.6266150,-0.0140440,7.4738002,8.086371
4,5,0.5129420,-0.0153947,7.7971001,8.294647
5,6,0.4932090,-0.0155853,7.2799001,7.757524
6,7,0.6167200,-0.0086787,6.4115000,7.019541
7,8,0.1788610,-0.0085893,8.0677004,8.237972
8,9,0.1962140,-0.0091093,8.5348997,8.722004
9,10,0.3902520,-0.0104147,8.6563997,9.036237
10,11,0.3735470,-0.0117613,8.9492998,9.311086
11,12,0.4336770,-0.0146747,9.4279003,9.846903
12,13,0.5506260,-0.0150612,9.1667995,9.702364
13,14,0.6168550,-0.0150160,8.7018995,9.303739
14,15,0.6177580,-0.0167013,8.0984001,8.699457
15,16,0.6439710,-0.0161975,7.8877001,8.515473
16,17,0.6460290,-0.0151933,7.3708000,8.001636
17,18,0.6388900,-0.0152533,6.8792000,7.502837
18,19,0.6949740,-0.0156467,6.7319999,7.411327
19,20,0.8716190,-0.0169907,6.5049000,7.359528
20,21,1.0906000,-0.0190000,6.2940998,7.3657
21,22,1.1954600,-0.0207294,6.4159999,7.590731
22,23,1.1854600,-0.0226372,6.6040001,7.766823
23,24,1.1061200,-0.0235533,6.6206999,7.703267
24,25,1.0378799,-0.0177347,6.7498002,7.769946
25,26,0.9824590,-0.0186493,6.8884001,7.85221
26,27,0.9967060,-0.0163667,5.9359999,6.916339
27,28,0.1975120,-0.0078853,7.3906999,7.580327
28,29,0.4007780,-0.0102334,7.8239002,8.214445
29,30,0.4375100,-0.0120681,7.8532000,8.278642
30,31,0.4871670,-0.0135213,7.7165999,8.190246
31,32,0.5524620,-0.0140587,8.0808001,8.619204
32,33,0.6367320,-0.0138721,8.2449999,8.86786
33,34,0.6804060,-0.0140267,8.0236998,8.690079
34,35,0.6688150,-0.0156293,8.4413004,9.094486
35,36,0.7573700,-0.0116560,8.5567999,9.302514
36,37,0.8992520,-0.0105987,8.3512001,9.239853
37,38,0.9326660,-0.0144200,7.9443002,8.862546
38,39,0.9153080,-0.0071255,7.2526999,8.160882
39,40,0.9006160,-0.0081214,7.2309999,8.123494
40,41,0.8533670,-0.0066958,6.7259998,7.572671
41,42,0.8448500,-0.0044387,6.6392999,7.479711
42,43,0.8987990,-0.0002385,6.6945000,7.59306
43,44,0.9512720,0.0032814,6.5573001,7.511854
44,45,1.0281000,0.0054879,6.3260002,7.359588
45,46,1.1691500,0.0069706,6.3747001,7.55082
46,47,1.2169300,0.0058201,6.5735002,7.79625
47,48,1.2157900,0.0032465,6.6204000,7.839437
48,49,1.2459700,0.0000814,6.6865001,7.932551
49,50,1.2304900,-0.0050361,6.8846998,8.110153
50,51,1.2488700,-0.0045840,6.0391998,7.283486
51,52,0.3660280,-0.0094788,6.7986002,7.155149
52,53,0.4815110,-0.0116947,6.6550002,7.124816
53,54,0.5332090,-0.0066000,7.0071998,7.533809
54,55,0.5947970,-0.0110640,7.0043001,7.588033
55,56,0.6466260,-0.0138760,6.9046001,7.53735
56,57,0.6870000,-0.0076427,6.9843001,7.663657
57,58,0.7404640,-0.0048001,7.0756998,7.811364
58,59,0.8275610,-0.0022587,6.9875002,7.812802
59,60,0.8555290,0.0015160,7.1760998,8.033145
60,61,0.8295180,0.0020507,8.0760002,8.907569
61,62,0.8482620,-0.0034319,8.6576996,9.50253
62,63,0.9428960,-0.0003960,7.6599002,8.6024
63,64,0.9508870,0.0034185,6.7582002,7.712506
64,65,0.9532430,-0.0016000,6.8745999,7.826243
65,66,0.9420700,-0.0047333,7.2846999,8.222036
66,67,0.9355560,-0.0047933,6.7501001,7.680863
67,68,0.9449360,-0.0036748,6.4867001,7.427961
68,69,0.8898270,-0.0016427,6.4948001,7.382984
69,70,0.7799490,0.0007360,6.6724000,7.453085
70,71,0.7587500,0.0036786,6.5092001,7.271629
71,72,0.8079270,0.0069212,6.4375000,7.252348
72,73,0.8748430,0.0074294,6.5955000,7.477772
73,74,1.0039800,0.0065640,6.6392999,7.649844
74,75,1.1197701,0.0053147,6.6865001,7.811585
75,76,1.2122101,0.0011427,6.8892999,8.102653
76,77,1.3283000,-0.0029546,6.2063999,7.531745
77,78,0.2035370,-0.0017027,7.9487000,8.150535
78,79,0.4608170,-0.0026520,7.2473001,7.705465
79,80,0.4624080,-0.0035787,6.7275000,7.186329
80,81,0.6003840,-0.0056800,6.3024001,6.897104
81,82,0.7739740,-0.0089986,6.1227999,6.887775
82,83,0.8325750,0.0010974,6.1789999,7.012672
83,84,0.8373590,-0.0016840,6.4194002,7.255075
